# UNIX        Bx     By     Bz     Bt
1770062760    0.7   -5.0   -2.1    5.5
1770063360    4.5   -0.6   -1.8    4.9
1770063960    3.7   -1.9   -2.2    4.7
1770064560   -1.9   -5.2   -0.3    5.5
1770065160   -2.0   -5.6   -0.7    6.0
1770065760   -2.0   -5.9   -0.2    6.2
1770066360   -2.5   -4.9   -1.5    5.7
1770066960   -2.4   -5.5   -1.3    6.1
1770067560   -2.2   -5.6   -1.4    6.2
1770068160   -1.4   -6.0   -0.9    6.2
1770068760   -0.7   -5.4   -2.2    5.8
1770069360   -0.5   -2.8   -4.7    5.5
1770069960   -0.4   -5.9   -1.0    6.0
1770070560   -1.0   -5.5   -2.0    6.0
1770071160    2.1    1.0   -5.2    5.7
1770071760    1.0   -4.4   -2.6    5.2
1770072360    0.5   -6.1   -0.1    6.1
1770072960   -0.0   -5.6   -2.0    6.0
1770073560   -0.3   -5.8   -2.2    6.3
1770074160   -1.3   -6.0   -1.4    6.3
1770074760   -0.9   -5.8   -1.7    6.1
1770075360   -0.2   -5.7   -2.1    6.1
1770075960   -0.2   -6.1   -1.8    6.3
1770076560    0.2   -5.3   -2.8    6.1
1770077160    0.6   -4.9   -3.1    5.9
1770077760    0.2   -5.8   -1.7    6.0
1770078360   -0.4   -5.9   -0.9    5.9
1770078960   -1.1   -6.1   -0.7    6.2
1770079560   -0.3   -5.9   -1.9    6.2
1770080160    0.3   -5.8   -1.0    5.9
1770080760   -0.6   -6.0   -1.2    6.1
1770081360   -0.8   -5.8   -1.8    6.2
1770081960   -0.8   -5.9   -1.3    6.1
1770082560   -0.2   -5.6   -2.1    6.0
1770083160    0.2   -4.7   -3.3    5.7
1770083760    0.4   -5.0   -2.5    5.6
1770084360    0.5   -4.5   -3.1    5.4
1770084960    0.5   -5.1   -1.6    5.3
1770085560    0.4   -4.8   -1.8    5.2
1770086160    0.6   -4.7   -1.8    5.1
1770086760    0.6   -4.8   -1.7    5.1
1770087360    0.2   -4.9   -1.5    5.1
1770087960    1.2   -3.7   -2.8    4.8
1770088560    1.6   -2.5   -3.7    4.7
1770089160    2.2   -3.1   -2.9    4.8
1770089760    2.8   -3.4   -2.1    4.9
1770090360    1.7   -4.0   -2.2    4.9
1770090960    2.9   -3.5   -1.2    4.7
1770091560    3.0   -3.2   -1.3    4.6
1770092160    3.2   -3.2   -0.9    4.6
1770092760    2.9   -3.3   -1.2    4.5
1770093360    0.3   -5.3   -0.7    5.4
1770093960    0.1   -5.1   -1.2    5.3
1770094560    0.6   -4.9   -1.3    5.1
1770095160    1.1   -4.5   -1.6    4.9
1770095760    2.6   -2.0   -2.8    4.3
1770096360    2.3   -3.1   -2.1    4.4
1770096960    2.4   -2.6   -2.5    4.3
1770097560    2.9   -2.4   -3.0    4.8
1770098160    3.3   -1.9   -3.0    4.9
1770098760    3.4   -1.3   -3.3    4.9
1770099360    3.3   -0.6   -3.5    4.9
1770099960    3.3   -0.2   -3.8    5.0
1770100560    3.4   -0.3   -3.8    5.1
1770101160    3.4   -0.3   -3.4    4.8
1770101760    2.8   -0.0   -3.6    4.5
1770102060    2.4    0.7   -3.8    4.6
1770102120    2.5    0.5   -3.9    4.7
1770102180    2.5    0.7   -3.9    4.7
1770102240    2.4    0.8   -3.9    4.7
1770102300    2.6    0.8   -3.6    4.5
1770105360    2.3   -2.3   -2.0    3.8
1770105960    2.4   -2.8   -1.7    4.1
1770106560    2.4   -4.0   -1.4    4.8
1770107160    2.0   -3.6   -1.0    4.2
1770107760    2.3   -3.3   -1.3    4.2
