#call,Hz,unix,mode,grid,lat,lng,park,org
AL5P,28450000,1770151619,SSB,EL89XF,29.2128,-82.0543,US-1915,POTA
EA/F4MFS,14074000,1770150744,FT8,IN92FN,42.5634,-1.5618,ES-0944,POTA
IU3GMW,145500000,1770150069,FM,JN66GM,46.5219,12.5064,IT-1442,POTA
K0DOL,14231000,1770151596,SSB,DM78FW,38.9381,-105.53,US-1217,POTA
K0KCY,14258000,1770151610,CW,EM60EG,30.2633,-87.6369,US-1042,POTA
K1UR,14327000,1770151592,SSB,FN42GJ,42.3883,-71.491,US-4720,POTA
K2ALS,14337000,1770151585,SSB,EL99IF,29.2491,-81.3267,US-8351,POTA
K3RTA,5332000,1770151540,CW,FM29DN,39.5614,-75.7199,US-1741,POTA
K4MEW,7035000,1770151615,CW,DN36at,46.80210,-113.97300,W7M/LM-131,SOTA
K4NYM,18093000,1770151576,CW,EL98AH,28.3031,-81.9186,US-5330,POTA
K5DGR,10121000,1770151538,CW,DM77DP,37.6657,-105.735,US-1239,POTA
K5DZR,28409000,1770150240,SSB,EM60EG,30.2633,-87.6369,US-1042,POTA
K5NBN,14292000,1770151388,SSB,DM65SE,35.2021,-106.475,US-4514,POTA
K6BBQ,14277000,1770151603,SSB,CM87RT,37.8308,-122.525,US-0647,POTA
K7EDM,28074000,1770150663,FT8,DN31XK,41.4221,-112.069,US-5779,POTA
K7EDM,14074000,1770148800,CW,DN31ui,41.36433029,-112.27493286,KFF-4727,WWFF
K7GUD,7032000,1770151400,CW,DN32DA,42.0186,-113.746,US-0664,POTA
K7GUD,10114000,1770151141,CW,DN32da,42.03870,-113.74250,W7I/CI-144,SOTA
K7GUD,14063300,1770150662,CW,DN32da,42.03870,-113.74250,W7I/CI-144,SOTA
K7GUD,18092900,1770149462,CW,DN32da,42.03870,-113.74250,W7I/CI-144,SOTA
K7GUD,21061600,1770149281,CW,DN32da,42.03870,-113.74250,W7I/CI-144,SOTA
K7GUD,24907900,1770148082,CW,DN32da,42.03870,-113.74250,W7I/CI-144,SOTA
K7LVJ,14043000,1770150730,CW,DM24XG,34.2727,-114.048,US-0172,POTA
K7SD,14290000,1770151322,SSB,DM33UJ,33.3799,-112.307,US-11982,POTA
K8BSR/17,14321000,1770151522,SSB,FM29SX,39.9969,-74.4194,US-8044,POTA
K8FXY,14312000,1770151603,SSB,EM23VF,33.2292,-94.2438,US-2984,POTA
KA5CRL,21345000,1770151492,SSB,EM03TS,33.7574,-98.3906,US-3022,POTA
KB3WAV,14321000,1770151522,SSB,FM29SX,39.9969,-74.4194,US-8044,POTA
KB3WAV,14322000,1770150540,CW,FM29tx,39.96297073,-74.34001923,KFF-5901,WWFF
KC1QDZ,18133000,1770151368,SSB,FN41JL,41.4798,-71.2436,US-0516,POTA
KC8YOM,14074000,1770151456,FT8,EN21AG,41.2646,-95.9246,US-4572,POTA
KC8ZKS,14074000,1770150166,FT8,EM89EW,39.9468,-83.6554,US-10632,POTA
KD4MZM,21074000,1770150220,FT8,EL87SE,27.1726,-82.4689,US-1909,POTA
KD5KKI,14059000,1770151419,CW,EL29JV,29.8767,-95.1684,US-3056,POTA
KD9OBF,14243000,1770151613,SSB,EN51HX,41.9778,-89.3568,US-0984,POTA
KD9VUK,14076000,1770151181,FT8,EN54XL,44.4736,-88.0295,US-4247,POTA
KD9ZAB,14279000,1770149868,SSB,EM48WL,38.4593,-90.1567,US-7872,POTA
KE0KUL,14284000,1770151409,SSB,EM48KS,38.7824,-91.1116,US-4840,POTA
KE4IUQ,28453000,1770151470,SSB,CM97JO,37.6126,-121.221,US-0210,POTA
KE4KE,14064500,1770151567,CW,EN35DK,45.4254,-93.6948,US-4825,POTA
KE7PEE,14324000,1770151382,SSB,DM61RT,31.8203,-106.563,US-4569,POTA
KE8VC,14270000,1770149900,SSB,DN97GM,47.5195,-101.453,US-4239,POTA
KG5FDT,14315000,1770150599,SSB,EM13OR,33.7392,-96.7523,US-0548,POTA
KG9JP,14318000,1770151477,SSB,EN54UE,44.167,-88.2912,US-1456,POTA
KI5PDO,14277000,1770151145,SSB,EM40XI,30.3371,-90.0411,US-2362,POTA
KJ5XC,14256000,1770150113,SSB,EM48WO,38.5979,-90.098,US-4095,POTA
KO6CZG,14297000,1770150528,SSB,DM13cn,33.55520,-117.75830,W6/SC-369,SOTA
KO6GJL,14310000,1770151026,SSB,CM97JO,37.6126,-121.221,US-0210,POTA
KT4EM,18100000,1770151149,FT8,FM05UH,35.3025,-78.3223,US-6833,POTA
LP6E,28074000,1770151036,FT8,GF01KW,-38.051,-59.166,AR-0373,POTA
N0HC,14034000,1770151539,CW,DM79JV,39.8773,-105.19,US-0225,POTA
N0TIE,14235000,1770150750,SSB,DM08IT,38.8102,-119.277,US-13058,POTA
N1CLC,144100000,1770149613,CW,DM13ki,33.36920,-117.11760,W6/SC-445,SOTA
N1CLC,144200000,1770148927,SSB,DM13ki,33.36920,-117.11760,W6/SC-445,SOTA
N1CNV,14081000,1770151609,FT4,FN31JK,41.4302,-73.2015,US-1687,POTA
N1PRR,14290000,1770151008,SSB,DM33UJ,33.3799,-112.307,US-11982,POTA
N2QLV,21060100,1770151380,CW,FN22HF,42.2098,-75.3891,US-5104,POTA
N3HCN,14081000,1770151094,FT4,EM90FL,30.4718,-81.5109,US-3648,POTA
N4HCN,14081000,1770151586,FT4,EM90FL,30.4718,-81.5109,US-3648,POTA
N6FCM,24975000,1770151527,SSB,DM13FJ,33.379,-117.572,US-3559,POTA
N9OHW,18081000,1770151619,CW,CM87XM,37.5299,-122.064,US-0189,POTA
NA9M,14062400,1770151581,CW,EN53FE,43.1912,-89.5309,US-4339,POTA
NO0X,14082000,1770151575,FT4,EN26DA,46.0198,-95.6999,US-9389,POTA
NP4IA,14281000,1770150101,SSB,FK68KA,18.0166,-67.1553,PR-0057,POTA
VA3ALQ,21290000,1770151600,SSB,FN25FL,45.4747,-75.5692,CA-1425,POTA
VE7SRF,21041900,1770151623,CW,CN89NF,49.211,-122.847,CA-3240,POTA
VK1AD,144200000,1770151262,SSB,QF44mq,-35.31667,149.01138,VK1/AC-043,SOTA
VK3YE,7074000,1770151385,FT8,QF21NW,-38.0694,145.134,AU-10636,POTA
VK3YE,10129000,1770151031,CW,QF21NW,-38.0694,145.134,AU-10636,POTA
W0ANM,28062100,1770150818,CW,EN35AH,45.3179,-93.9359,US-2504,POTA
W1MP,14080000,1770151581,FT4,FM18IO,38.6148,-77.2748,US-4564,POTA
W3GTR,14068000,1770151416,CW,FM19TA,39.0209,-76.4071,US-1595,POTA
W3GTR,18071900,1770148440,CW,FM19ta,39.02087021,-76.40712738,KFF-1595,WWFF
W3PEW,14080000,1770151586,FT4,DN40BK,40.4578,-111.901,US-5929,POTA
W4BUS,14295000,1770151564,SSB,EL98GR,28.7117,-81.4647,US-1927,POTA
W4MPT,14082000,1770151570,FT4,EM73OX,33.974,-84.7591,US-3723,POTA
W4YS,28395000,1770151562,SSB,CM98EN,38.5632,-121.636,US-11581,POTA
W5DRT,14315000,1770150105,SSB,EM13OR,33.7392,-96.7523,US-0548,POTA
W6DDM,18142000,1770151391,SSB,DM04VC,34.098,-118.236,US-3548,POTA
W7KMO,14074000,1770151546,FT8,DM38XQ,38.6838,-112.08,US-11660,POTA
W7PQ,14058100,1770151590,CW,DM36GX,36.9998,-113.47,US-10995,POTA
W8CFH,14267000,1770151557,SSB,EN74VC,44.0929,-84.2363,US-7854,POTA
W8TMB,14083000,1770151589,FT4,EN82DM,42.5056,-83.7076,US-3315,POTA
W9WGN,18130000,1770151359,SSB,EM50HG,30.2644,-89.4056,US-2532,POTA
WA3GM,14062000,1770151572,CW,EL97SW,27.9369,-80.4977,US-3631,POTA
WA3LTJ/VE7,14263000,1770151386,SSB,CN89MG,49.2821,-122.936,CA-3278,POTA
WA9TT,21076000,1770151546,FT8,EN54RL,44.4631,-88.5145,US-4306,POTA
WB0RLJ,14032500,1770151515,CW,EN11WE,41.1709,-96.1556,US-4011,POTA
WB4AJL,14045000,1770151602,CW,EL98GT,28.8193,-81.4281,US-4639,POTA
WC1N,18082000,1770151558,CW,FN42KB,42.0626,-71.1645,US-2420,POTA
WF1B,14080000,1770151261,FT4,EL87UL,27.498,-82.3116,US-5118,POTA
WX7EMT,21342000,1770150325,SSB,CN97AG,47.2705,-121.938,US-3236,POTA
ZL1BYZ,7080000,1770151524,SSB,RF72qo,-37.41400,175.39600,ZL1/WK-125,SOTA
